127.0.0.1 - - [07/Apr/2024:12:00:41 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:00:42 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2498
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:00:45 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:01:21 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2498
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:01:27 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2498
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:01:31 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2498
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:01:32 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:01:57 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2498
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:01:58 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:02:00 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:02:29 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2498
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:05:38 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2498
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:07:24 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:13:38 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 500 2446
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:13:40 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:13:41 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:14:00 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:14:21 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:14:35 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:16:29 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:16:44 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:16:47 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:17:24 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:19:44 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:20:13 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:25:25 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [07/Apr/2024:12:26:00 +0530] "GET /JSTLDEMO/if.jsp HTTP/1.1" 200 191
