127.0.0.1 - - [17/Mar/2024:12:14:15 +0530] "GET / HTTP/1.1" 200 11437
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:14:25 +0530] "GET /jsp-demo/jsp_expression.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:15:48 +0530] "GET /jsp-demo/jsp_expression.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:15:48 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:17:42 +0530] "GET /jsp-demo/jsp_expression.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:19:34 +0530] "GET /jsp-demo/jsp_expression.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:27:27 +0530] "GET /jsp-demo/scriplet.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:27:48 +0530] "GET /jsp-demo/scriplet.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:28:18 +0530] "GET /jsp-demo/scriplet.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:31:36 +0530] "GET /jsp-demo/scriplet.jsp HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:32:40 +0530] "GET /jsp-demo/scriplet.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:33:19 +0530] "GET /jsp-demo/scriplet.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [17/Mar/2024:12:38:24 +0530] "GET /jsp-demo/scriplet.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:00:55 +0530] "GET /jsp-demo/scripletdemo2.jsp HTTP/1.1" 500 2184
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:01:17 +0530] "GET /jsp-demo/scripletdemo2.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:02:47 +0530] "GET /jsp-demo/scripletdemo2.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:04:41 +0530] "GET /jsp-demo/scripletdemo2.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:04:47 +0530] "GET /jsp-demo/scripletdemo2.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:05:21 +0530] "GET /jsp-demo/scripletdemo2.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:13:13 +0530] "GET /jsp-demo/function.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:13:28 +0530] "GET /jsp-demo/function.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:16:03 +0530] "GET /jsp-demo/function.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:16:20 +0530] "GET /jsp-demo/function.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [17/Mar/2024:13:16:48 +0530] "GET /jsp-demo/function.jsp HTTP/1.1" 200 273
